,ID,subtech_ID,Name,Description,tactics
14,,0.1,Bypass User Account Control,The malware can bypass UAC to escalate privileges.,"Defense Evasion, Privilege Escalation"
15,,0.1,Bypass User Account Control,The malware can generate a UAC pop-up Window to prompt the target user to run a command as the administrator.,"Defense Evasion, Privilege Escalation"
16,,0.1,Bypass User Account Control,"The malware can bypass Windows UAC through either DLL hijacking, eventvwr, or appPaths.","Defense Evasion, Privilege Escalation"
17,,0.1,Sudo and Sudo Caching,The malware modifies the tty_tickets line in the sudoers file.,"Defense Evasion, Privilege Escalation"
18,,0.1,Bypass User Account Control,The malware can utilize multiple methods to bypass UAC.,"Defense Evasion, Privilege Escalation"
19,,0.1,Bypass User Account Control,The malware installer can use UAC bypass techniques to install the payload.,"Defense Evasion, Privilege Escalation"
20,,0.1,Bypass User Account Control,An older variant of the malware performs UAC bypass.,"Defense Evasion, Privilege Escalation"
21,,0.1,Elevated Execution with Prompt,The malware can escalate privileges to root by asking the user for credentials.,"Defense Evasion, Privilege Escalation"
22,,0.1,Bypass User Account Control,The malware has utilized multiple techniques to bypass UAC.,"Defense Evasion, Privilege Escalation"
23,,0.1,Bypass User Account Control,The malware has 2 methods for elevating integrity. It can bypass UAC through `eventvwr.exe` and `sdclt.exe`.,"Defense Evasion, Privilege Escalation"
24,,0.1,Setuid and Setgid,The malware adds the setuid flag to a binary so it can easily elevate in the future.,"Defense Evasion, Privilege Escalation"
25,,0.1,Bypass User Account Control,"The malware has bypassed UAC by performing token impersonation as well as an RPC-based method, this included bypassing UAC set to “AlwaysNotify"".","Defense Evasion, Privilege Escalation"
26,,0.1,Bypass User Account Control,The malware will perform UAC bypass either through fodhelper.exe or eventvwr.exe.,"Defense Evasion, Privilege Escalation"
27,,0.1,Bypass User Account Control,The malware can use fileless UAC bypass and create an elevated COM object to escalate privileges.,"Defense Evasion, Privilege Escalation"
28,,0.1,Bypass User Account Control,The malware bypasses user access control by using a DLL hijacking vulnerability in the Windows Update Standalone Installer (wusa.exe).,"Defense Evasion, Privilege Escalation"
29,,0.1,Bypass User Account Control,The malware can bypass UAC by registering as the default handler for .MSC files.,"Defense Evasion, Privilege Escalation"
30,,0.1,Bypass User Account Control,The malware can bypass UAC to elevate process privileges on a compromised host.,"Defense Evasion, Privilege Escalation"
31,,0.1,Bypass User Account Control,The malware performs UAC bypass.,"Defense Evasion, Privilege Escalation"
32,,0.1,Setuid and Setgid,The malware can execute commands with high privileges via a specific binary with setuid functionality.,"Defense Evasion, Privilege Escalation"
33,,0.1,Bypass User Account Control,The malware includes various modules to attempt to bypass UAC for escalation of privileges.,"Defense Evasion, Privilege Escalation"
34,,0.1,Bypass User Account Control,The malware bypasses UAC to escalate privileges by using a custom “RedirectEXE” shim database.,"Defense Evasion, Privilege Escalation"
35,,0.1,Sudo and Sudo Caching,The malware adds admin  ALL=(ALL) NOPASSWD: ALLto the /etc/sudoersfile.,"Defense Evasion, Privilege Escalation"
36,,0.1,Sudo and Sudo Caching,The malware can use sudoto run a command.,"Defense Evasion, Privilege Escalation"
37,,0.1,Bypass User Account Control,The malware can use a number of known techniques to bypass Windows UAC.,"Defense Evasion, Privilege Escalation"
38,,0.1,Bypass User Account Control,The malware has the ability to bypass UAC using a `passuac.dll` file.,"Defense Evasion, Privilege Escalation"
39,,0.1,Bypass User Account Control,The malware can bypass UAC using the SilentCleanup task to execute the binary with elevated privileges.,"Defense Evasion, Privilege Escalation"
40,,0.1,Bypass User Account Control,The malware has the ability to bypass UAC to deploy post exploitation tools with elevated privileges.,"Defense Evasion, Privilege Escalation"
41,,0.1,Bypass User Account Control,The malware attempts to bypass default User Access Control (UAC) settings by exploiting a backward-compatibility setting found in Windows 7 and later.,"Defense Evasion, Privilege Escalation"
42,,0.1,Bypass User Account Control,The malware can bypass UAC to escalate privileges. ,"Defense Evasion, Privilege Escalation"
43,,0.1,Bypass User Account Control,"The malware can suppress UAC prompts by setting the HKCU\Software\Classes\ms-settings\shell\open\commandregistry key on Windows 10 or HKCU\Software\Classes\mscfile\shell\open\commandon Windows 7 and launching the eventvwr.mscprocess, which launches the malware with elevated privileges.","Defense Evasion, Privilege Escalation"
44,,0.1,Bypass User Account Control,The malware has attempted to bypass UAC and gain elevated administrative privileges.,"Defense Evasion, Privilege Escalation"
45,,0.1,Bypass User Account Control,The malware bypasses UAC using the CMSTPLUA COM interface. ,"Defense Evasion, Privilege Escalation"
46,,0.1,Bypass User Account Control,The malware attempts to escalate privileges by bypassing User Access Control.,"Defense Evasion, Privilege Escalation"
47,,0.1,Bypass User Account Control,The malware has presented the user with a UAC prompt to elevate privileges while installing.,"Defense Evasion, Privilege Escalation"
48,,0.1,Bypass User Account Control,A the threat actors tool can use a public UAC bypass method to elevate privileges.,"Defense Evasion, Privilege Escalation"
49,,0.1,Bypass User Account Control,The threat actors bypassed User Access Control (UAC).,"Defense Evasion, Privilege Escalation"
50,,0.1,Bypass User Account Control,The threat actors uses various techniques to bypass UAC.,"Defense Evasion, Privilege Escalation"
51,,0.1,Bypass User Account Control,The threat actors has used PowerShell to bypass UAC.,"Defense Evasion, Privilege Escalation"
52,,0.1,Bypass User Account Control,The threat actors has used the Fodhelper UAC bypass technique to gain elevated privileges.,"Defense Evasion, Privilege Escalation"
53,,0.1,Bypass User Account Control,The threat actors has bypassed UAC.,"Defense Evasion, Privilege Escalation"
54,,0.1,Bypass User Account Control,The threat actors has used a Windows 10 specific tool and xxmm to bypass UAC for privilege escalation.,"Defense Evasion, Privilege Escalation"
55,,0.1,Bypass User Account Control,The threat actors has a function in the initial dropper to bypass Windows UAC in order to execute the next payload with higher privileges.,"Defense Evasion, Privilege Escalation"
56,,0.1,Bypass User Account Control,The threat actors has bypassed UAC.,"Defense Evasion, Privilege Escalation"
57,,0.1,Bypass User Account Control,"During the attack, the threat actors used the malicious NTWDBLIB.DLL and `cliconfig.exe` to bypass UAC protections.","Defense Evasion, Privilege Escalation"
58,,0.001,Setuid and Setgid,"An adversary may abuse configurations where an application has the setuid or setgid bits set in order to get code running in a different (and possibly more privileged) user’s context. On Linux or macOS, when the setuid or setgid bits are set for an application binary, the application will run with the privileges of the owning user or group respectively. Normally an application is run in the current user’s context, regardless of which user or group owns the application. However, there are instances where programs need to be executed in an elevated context to function properly, but the user running them may not have the specific required privileges.",
59,,0.002,Bypass User Account Control,"Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",
60,,0.003,Sudo and Sudo Caching,Adversaries may perform sudo caching and/or use the sudoers file to elevate privileges. Adversaries may do this to execute commands as other users or spawn processes with higher privileges.,
61,,0.004,Elevated Execution with Prompt,"Adversaries may leverage the AuthorizationExecuteWithPrivileges API to escalate privileges by prompting the user for credentials. The purpose of this API is to give application developers an easy way to perform operations with root privileges, such as for application installation or updating. This API does not validate that the program requesting root privileges comes from a reputable source or has been maliciously modified.",
62,T1134,,Access Token Manipulation,"Adversaries may modify access tokens to operate under a different user or system security context to perform actions and bypass access controls. Windows uses access tokens to determine the ownership of a running process. A user can manipulate access tokens to make a running process appear as though it is the child of a different process or belongs to someone other than the user that started the process. When this occurs, the process also takes on the security context associated with the new token.",
63,,0.1,Create Process with Token,"The malware has a command called RunAs, which creates a new process as another user or process context. ","Defense Evasion, Privilege Escalation"
64,,0.1,Create Process with Token,"The malware third stage can use the AdvancedRun.exe tool to execute commands in the context of the Windows TrustedInstaller group via `%TEMP%\AdvancedRun.exe"" /EXEFilename ""C:\Windows\System32\sc.exe"" /WindowState 0 /CommandLine ""stop WinDefend"" /StartDirectory """" /RunAs 8 /Run`.","Defense Evasion, Privilege Escalation"
65,,0.1,Token Impersonation/Theft,The malware leverages token theft to obtain `lsass.exe` security permissions. ,"Defense Evasion, Privilege Escalation"
66,,0.1,Token Impersonation/Theft,The malware attempts to impersonate an anonymous token to enumerate bindings in the service control manager.,"Defense Evasion, Privilege Escalation"
67,,0.1,Access Token Manipulation,The malware contains a feature to manipulate process privileges and tokens.,"Defense Evasion, Privilege Escalation"
68,,0.1,Access Token Manipulation,The malware has the ability to manipulate user tokens on targeted Windows systems.,"Defense Evasion, Privilege Escalation"
69,,0.1,Token Impersonation/Theft,The malware impersonates the main thread of CExecSvc.exeby calling NtImpersonateThread.,"Defense Evasion, Privilege Escalation"
70,,0.1,Token Impersonation/Theft,"The malware can impersonate tokens using LogonUser, ImpersonateLoggedOnUser, and ImpersonateNamedPipeClient.","Defense Evasion, Privilege Escalation"
71,,0.1,Access Token Manipulation,The malware modified its security token to grants itself debugging privileges by adding SeDebugPrivilege.,"Defense Evasion, Privilege Escalation"
72,,0.1,Token Impersonation/Theft,The malware can find a process owned by a specific user and impersonate the associated token.,"Defense Evasion, Privilege Escalation"
73,,0.1,Access Token Manipulation,The malware has attempted to adjust its token privileges to have the SeDebugPrivilege.,"Defense Evasion, Privilege Escalation"
74,,0.1,Token Impersonation/Theft,The malware can obtain the token from the user that launched the explorer.exe process to avoid affecting the desktop of the SYSTEM user.,"Defense Evasion, Privilege Escalation"
75,,0.1,Create Process with Token,The malware can launch an instance of itself with administrative rights using runas.,"Defense Evasion, Privilege Escalation"
76,,0.1,Token Impersonation/Theft,The malware can obtain a list of SIDs and provide the option for selecting process tokens to impersonate.,"Defense Evasion, Privilege Escalation"
77,,0.1,Access Token Manipulation,The malware's Invoke-TokenManipulationExfiltration module can be used to manipulate tokens.,"Defense Evasion, Privilege Escalation"
78,,0.1,Create Process with Token,The malware can use Invoke-RunAs to make tokens.,"Defense Evasion, Privilege Escalation"
79,,0.1,Access Token Manipulation,The malware can use Invoke-TokenManipulation for manipulating tokens.,"Defense Evasion, Privilege Escalation"
80,,0.1,Parent PID Spoofing,The malware can use parent PID spoofing to elevate privileges.,"Defense Evasion, Privilege Escalation"
81,,0.1,Create Process with Token,The malware can attempt to gain administrative privileges using token impersonation.,"Defense Evasion, Privilege Escalation"
82,,0.1,Token Impersonation/Theft,The malware can impersonate a logged-on user's security context using a call to the ImpersonateLoggedOnUser API.,"Defense Evasion, Privilege Escalation"
83,,0.1,SID-History Injection,The malware's MISC::AddSidmodule can appended any SID or user/group account to a user's SID-History. the malware also utilizes SID-History Injection to expand the scope of other components such as generated Kerberos Golden Tickets and DCSync beyond a single domain.,"Defense Evasion, Privilege Escalation"
84,,0.1,Access Token Manipulation,The malware can enable SeDebugPrivilegeand adjust token privileges.,"Defense Evasion, Privilege Escalation"
85,,0.1,Make and Impersonate Token,The malware can create a token for a different user.,"Defense Evasion, Privilege Escalation"
86,,0.1,Access Token Manipulation,The malware can use `AdjustTokenPrivileges()` to elevate privileges.,"Defense Evasion, Privilege Escalation"
87,,0.1,Access Token Manipulation,"The malware has attempted to get the access token of a process by calling OpenProcessToken. If the malware gets the access token, then it attempt to modify the token privileges with AdjustTokenPrivileges.","Defense Evasion, Privilege Escalation"
88,,0.1,Parent PID Spoofing,The malware has used parent PID spoofing to spawn a new `cmd` process using `CreateProcessW` and a handle to `Taskmgr.exe`. ,"Defense Evasion, Privilege Escalation"
89,,0.1,Create Process with Token,The malware has duplicated the token of a high integrity process to spawn an instance of cmd.exe under an impersonated user. ,"Defense Evasion, Privilege Escalation"
90,,0.1,Access Token Manipulation,The malware creates a backdoor through which remote attackers can adjust token privileges.,"Defense Evasion, Privilege Escalation"
91,,0.1,Access Token Manipulation,"The malware can use `AdjustTokenPrivileges` to grant itself privileges for debugging with `SeDebugPrivilege`, creating backups with `SeBackupPrivilege`, loading drivers with `SeLoadDriverPrivilege`, and shutting down a local system with `SeShutdownPrivilege`.","Defense Evasion, Privilege Escalation"
92,,0.1,Access Token Manipulation,The malware can use token manipulation to bypass UAC on Windows7 systems.,"Defense Evasion, Privilege Escalation"
93,,0.1,Token Impersonation/Theft,The malware uses token manipulation with NtFilterToken as part of UAC bypass.,"Defense Evasion, Privilege Escalation"
94,,0.1,SID-History Injection,The malware can add a SID-History to a user if on a domain controller.,"Defense Evasion, Privilege Escalation"
95,,0.1,Create Process with Token,The malware can use Invoke-RunAsto make tokens.,"Defense Evasion, Privilege Escalation"
96,,0.1,Access Token Manipulation,The malware can use the malware's Invoke-TokenManipulationto manipulate access tokens.,"Defense Evasion, Privilege Escalation"
97,,0.1,Access Token Manipulation,"The malware examines running system processes for tokens that have specific system privileges. If it finds one, it will copy the token and store it for later use. Eventually it will start new processes with the stored token attached. It can also steal tokens to acquire administrative privileges.","Defense Evasion, Privilege Escalation"
98,,0.1,Access Token Manipulation,The malware has used SeDebugPrivilegeand AdjustTokenPrivilegesto elevate privileges.,"Defense Evasion, Privilege Escalation"
99,,0.1,Token Impersonation/Theft,The malware can steal access tokens from exiting processes.,"Defense Evasion, Privilege Escalation"
100,,0.1,Parent PID Spoofing,The malware can spawn processes with alternate PPIDs.,"Defense Evasion, Privilege Escalation"
101,,0.1,Make and Impersonate Token,The malware can make tokens from known credentials.,"Defense Evasion, Privilege Escalation"
102,,0.1,Access Token Manipulation,The malware has the ability modify access tokens.,"Defense Evasion, Privilege Escalation"
103,,0.1,Token Impersonation/Theft,The malware can use the tokens of users to create processes on infected systems.,"Defense Evasion, Privilege Escalation"
104,,0.1,Create Process with Token,The malware grabs a user token using WTSQueryUserToken and then creates a process by impersonating a logged-on user.,"Defense Evasion, Privilege Escalation"
105,,0.1,Create Process with Token,The malware can call WTSQueryUserToken and CreateProcessAsUser to start a new process with local system privileges.,"Defense Evasion, Privilege Escalation"
106,,0.1,Token Impersonation/Theft,The malware has the ability to duplicate a token from ntprint.exe.,"Defense Evasion, Privilege Escalation"
107,,0.1,Create Process with Token,The malware has the ability to execute a process using runas.,"Defense Evasion, Privilege Escalation"
108,,0.1,Access Token Manipulation,The malware can gain system level privilege by passing SeDebugPrivilegeto the AdjustTokenPrivilegeAPI.,"Defense Evasion, Privilege Escalation"
109,,0.1,Create Process with Token,The threat actors RPC backdoors can impersonate or steal process tokens before executing commands.	,"Defense Evasion, Privilege Escalation"
110,,0.1,Create Process with Token,The threat actors keylogger KiloAlfa obtains user tokens from interactive sessions to execute itself with API call CreateProcessAsUserAunder that user's context.,"Defense Evasion, Privilege Escalation"
111,,0.1,Token Impersonation/Theft,The threat actors has used a malicious framework designed to impersonate the lsass.exe/vmtoolsd.exe token.,"Defense Evasion, Privilege Escalation"
112,,0.1,Access Token Manipulation,The threat actors has used has used Metasploit’s named-pipe impersonation technique to escalate privileges.,"Defense Evasion, Privilege Escalation"
113,,0.1,Access Token Manipulation,The threat actors has used JuicyPotato to abuse the SeImpersonatetoken privilege to escalate from web application pool accounts to NT Authority\SYSTEM.,"Defense Evasion, Privilege Escalation"
114,,0.1,Token Impersonation/Theft,The threat actors has used CVE-2015-1701 to access the SYSTEM token and copy it into the current process as part of privilege escalation.,"Defense Evasion, Privilege Escalation"
115,,0.1,Access Token Manipulation,"During the attack, the threat actors used a ConfuserEx obfuscated BADPOTATO exploit to abuse named-pipe impersonation for local `NT AUTHORITY\SYSTEM` privilege escalation.","Defense Evasion, Privilege Escalation"
116,,0.001,Token Impersonation/Theft,"Adversaries may duplicate then impersonate another user's token to escalate privileges and bypass access controls. An adversary can create a new access token that duplicates an existing token using DuplicateToken(Ex). The token can then be used with ImpersonateLoggedOnUser to allow the calling thread to impersonate a logged on user's security context, or with SetThreadToken to assign the impersonated token to a thread.",
117,,0.002,Create Process with Token,Adversaries may create a new process with a different token to escalate privileges and bypass access controls. Processes can be created with the token and resulting security context of another user using features such as CreateProcessWithTokenW and runas.,
118,,0.003,Make and Impersonate Token,"Adversaries may make and impersonate tokens to escalate privileges and bypass access controls. If an adversary has a username and password but the user is not logged onto the system, the adversary can then create a logon session for the user using the LogonUser function. The function will return a copy of the new session's access token and the adversary can use SetThreadToken to assign the token to a thread.",
119,,0.004,Parent PID Spoofing,"Adversaries may spoof the parent process identifier (PPID) of a new process to evade process-monitoring defenses or to elevate privileges. New processes are typically spawned directly from their parent, or calling, process unless explicitly specified. One way of explicitly assigning the PPID of a new process is via the CreateProcess API call, which supports a parameter that defines the PPID to use. This functionality is used by Windows features such as User Account Control (UAC) to correctly set the PPID after a requested elevated process is spawned by SYSTEM (typically via svchost.exe or consent.exe) rather than the current user context.",
120,,0.005,SID-History Injection,"Adversaries may use SID-History Injection to escalate privileges and bypass access controls. The Windows security identifier (SID) is a unique value that identifies a user or group account. SIDs are used by Windows security in both security descriptors and access tokens. An account can hold additional SIDs in the SID-History Active Directory attribute , allowing inter-operable account migration between domains (e.g., all values in SID-History are included in access tokens).",
121,T1531,,Account Access Removal,"Adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users. Accounts may be deleted, locked, or manipulated (ex: changed credentials) to remove access to accounts. Adversaries may also subsequently log off and/or perform a System Shutdown/Reboot to set malicious changes into place.",
122,,0.1,Account Access Removal,The malware has the ability to change the password of local users on compromised hosts and can log off users.,Impact
123,,0.1,Account Access Removal,The malware has changed user account passwords and logged users off the system.,Impact
124,,0.1,Account Access Removal,The malware has been observed changing account passwords and logging off current users.,Impact
125,,0.1,Account Access Removal,The threat actors has removed a targeted organization's global admin accounts to lock the organization out of all access.,Impact
126,T1087,,Account Discovery,Adversaries may attempt to get a listing of accounts on a system or within an environment. This information can help adversaries determine which accounts exist to aid in follow-on behavior.,
127,,0.1,Domain Account,The malware can be used to gather information on user accounts within a domain.,Discovery
128,,0.1,Account Discovery,"The malware attempts to discover accounts from various locations such as a user's Evernote, AppleID, Telegram, Skype, and WeChat data.",Discovery
129,,0.1,Account Discovery,The malware can identify administrator accounts on an infected machine.,Discovery
130,,0.1,Local Account,The malware has the ability to enumerate local admin accounts.,Discovery
131,,0.1,Domain Account,The malware has the ability to enumerate domain admin accounts.,Discovery
132,,0.1,Local Account,The malware can use net userto gather information about local accounts.	,Discovery
133,,0.1,Local Account,The malware collects the users of the system.,Discovery
134,,0.1,Email Account,The malware collects email addresses from Outlook.,Discovery
135,,0.1,Domain Account,"The malware may use net group ""domain admins"" /domainto display accounts in the ""domain admins"" permissions group and net localgroup ""administrators""to list local system administrator group membership.",Discovery
136,,0.1,Local Account,The malware enumerates user accounts of the local host.,Discovery
137,,0.1,Domain Account,The malware enumerates user accounts of the domain.,Discovery
138,,0.1,Local Account,The malware can collect usernames from the local system via net.exe user.,Discovery
139,,0.1,Domain Account,The malware can enumerate domain accounts via net.exe user /domain.,Discovery
140,,0.1,Account Discovery,The malware listed all non-privileged and privileged accounts available on the machine.,Discovery
141,,0.1,Local Account,The malware has used net.exe userand net.exe usersto enumerate local accounts on a compromised host.,Discovery
142,,0.1,Domain Account,The malware can use `System.Security.AccessControl` namespaces to retrieve domain user information.  ,Discovery
143,,0.1,Local Account,The malware has a command to retrieve information about connected users.,Discovery
144,,0.1,Local Account,The malware has run the command `net user` on a victim.,Discovery
145,,0.1,Email Account,The malware can be used to enumerate Exchange users and dump the GAL.,Discovery
146,,0.1,Local Account,The malware can obtain a list of users.,Discovery
147,,0.1,Cloud Account,The malware can enumerate Azure AD users.,Discovery
148,,0.1,Local Account,The malware uses the net usercommand.,Discovery
149,,0.1,Local Account,"The malware uses PowerView and Pywerview to perform discovery commands such as net user, net group, net local group, etc.",Discovery
150,,0.1,Local Account,The malware's Get-ProcessTokenGroupPrivesc-PowerUp module can enumerate all SIDs associated with its current token.,Discovery
151,,0.1,Local Account,The malware can enumerate local and domain user account information.,Discovery
152,,0.1,Domain Account,The malware can enumerate local and domain user account information.,Discovery
153,,0.1,Local Account,The malware has used the NetUserEnumfunction to enumerate local accounts.	,Discovery
154,,0.1,Local Account,The malware can gather user names.,Discovery
155,,0.1,Domain Account,The malware may collect user account information by running net user /domainor a series of other commands on a victim.,Discovery
156,,0.1,Local Account,The malware can retrieve usernames from compromised hosts.,Discovery
157,,0.1,Local Account,The malware can display the /etc/passwd file on a compromised host.,Discovery
158,,0.1,Local Account,The malware enumerates local and domain users,Discovery
159,,0.1,Domain Account,The malware enumerates local and domain users,Discovery
160,,0.1,Local Account,Commands under net usercan be used in the malware to gather information about and manipulate user accounts.,Discovery
161,,0.1,Domain Account,The malware commands used with the /domainflag can be used to gather information about and manipulate user accounts on the current domain.,Discovery
162,,0.1,Local Account,The malware may create a file containing the results of the command cmd.exe /c net user {Username}.,Discovery
163,,0.1,Local Account,The malware has run `C:\Windows\system32\cmd.exe /c cmd /c dir c:\users\ /s 2>&1` to discover local accounts.,Discovery
164,,0.1,Email Account,The malware can be used to obtain account names from Exchange and Office 365 using the Get-GlobalAddressListcmdlet.,Discovery
165,,0.1,Local Account,The malware has the capability to retrieve information about users on remote hosts.,Discovery
166,,0.1,Email Account,The malware can collect email accounts from Microsoft Outlook and Mozilla Thunderbird. ,Discovery
167,,0.1,Local Account,The malware collects a list of accounts with the command net users.,Discovery
168,,0.1,Local Account,The malware gathers information on local groups and members on the victim’s machine.,Discovery
169,,0.1,Local Account,The malware has a command to list account information on the victim’s machine.,Discovery
170,,0.1,Domain Account,The malware can query LDAP to identify additional users on the network to infect.,Discovery
171,,0.1,Domain Account,The malware Active Directory Querier module  can perform authenticated requests against an Active Directory server.,Discovery
172,,0.1,Local Account,The malware can enumerate all account names on a remote share.,Discovery
173,,0.1,Email Account,The malware can parse Outlook .pst files to extract e-mail addresses.,Discovery
174,,0.1,Local Account,The malware collects information on local user accounts from the victim.,Discovery
175,,0.1,Local Account,"The malware gathers a list of all user accounts, privilege classes, and time of last logon.",Discovery
176,,0.1,Local Account,The malware can acquire local and domain user account information.,Discovery
177,,0.1,Domain Account,The malware can acquire local and domain user account information.,Discovery
178,,0.1,Email Account,The malware has been observed leveraging a module that can scrape email addresses from Outlook.,Discovery
179,,0.1,Local Account,The malware executes net userafter initial communication is made to the remote server.,Discovery
180,,0.1,Local Account,The discovery modules used with the malware can collect information on accounts and permissions.,Discovery
181,,0.1,Domain Account,The malware can enumerate the domain user accounts on a targeted system.,Discovery
182,,0.1,Local Account,The malware uses the net usercommand.,Discovery
183,,0.1,Domain Account,The malware can determine if the user on an infected machine is in the admin or domain admin group.,Discovery
184,,0.1,Domain Account,"The malware can use LDAP queries, `net group ""Domain Admins"" /domain` and `net user /domain` for discovery.",Discovery
185,,0.1,Email Account,The malware can execute an LDAP query to discover e-mail accounts for domain users.,Discovery
186,,0.1,Domain Account,"The malware has the ability to execute an LDAP query to enumerate the distinguished name, SAM account name, and display name for all domain users.",Discovery
187,,0.1,Local Account,The malware can identify users with local administrator rights.,Discovery
188,,0.1,Domain Account,"The malware can collect information about domain users, including identification of domain admin accounts.",Discovery
189,,0.1,Domain Account,The malware can utilize `net use` commands to identify domain users.,Discovery
190,,0.1,Local Account,The malware can enumerate the sessions for each user logged onto the infected host.,Discovery
191,,0.1,Local Account,The malware can identify administrator accounts on an infected host.,Discovery
192,,0.1,Domain Account,The malware has the ability to identify domain administrator accounts.,Discovery
193,,0.1,Local Account,The malware gathers domain and account names/information through process monitoring.,Discovery
194,,0.1,Domain Account,The malware gathers domain and account names/information through process monitoring.,Discovery
195,,0.1,Email Account,The malware collects address book information from Outlook.,Discovery
196,,0.1,Local Account,The malware can collect account information from the victim’s machine.,Discovery
197,,0.1,Domain Account,The malware can enumerate domain users.,Discovery
198,,0.1,Cloud Account,The malware can enumerate Azure AD users.,Discovery
199,,0.1,Domain Account,The threat actors has used the Microsoft administration tool csvde.exe to export Active Directory data.,Discovery
200,,0.1,Local Account,The threat actors actors used the following commands following exploitation of a machine with the malware malware to enumerate user accounts: net user >> %temp%\downloadnet user /domain >> %temp%\download,Discovery
201,,0.1,Domain Account,The threat actors has identified domain admins through the use of “net group ‘Domain admins’” commands.,Discovery
202,,0.1,Local Account,The threat actors has used net userto enumerate local accounts on the system.,Discovery
203,,0.1,Domain Account,The threat actors has used net user /domainto enumerate domain accounts.,Discovery
204,,0.1,Local Account,The threat actors has used net userto conduct internal discovery of systems.,Discovery
205,,0.1,Email Account,The threat actors has used the tool EmailStealer to steal and send lists of e-mail addresses to a remote server.,Discovery
206,,0.1,Email Account,"The threat actors used malware to enumerate email settings, including usernames and passwords, from the M.E.Doc application.	",Discovery
207,,0.1,Domain Account,"The threat actors has used a tool to query Active Directory using LDAP, discovering information about usernames listed in AD.	",Discovery
208,,0.1,Local Account,The threat actors searches for administrator accounts on both the local victim machine and the network.,Discovery
209,,0.1,Domain Account,The threat actors searches for administrator accounts on both the local victim machine and the network.,Discovery
210,,0.1,Local Account,"The threat actors has run net user, net user /domain, net group “domain admins” /domain, and net group “Exchange Trusted Subsystem” /domainto get account listings on a victim.",Discovery
211,,0.1,Domain Account,"The threat actors has run net user, net user /domain, net group “domain admins” /domain, and net group “Exchange Trusted Subsystem” /domainto get account listings on a victim.",Discovery
212,,0.1,Domain Account,The threat actors has used cmd.exe net user /domainto enumerate domain users.,Discovery
213,,0.1,Local Account,The threat actors has collected the administrator username from a compromised host.,Discovery
214,,0.1,Email Account,The threat actors has used Powershell to discover email accounts.,Discovery
215,,0.1,Domain Account,The threat actors has used the AD Explorer tool to enumerate users on a victim's network.,Discovery
216,,0.1,Local Account,"The threat actors performs account discovery using commands such as net localgroup administratorsand net group ""REDACTED"" /domainon specific permissions groups.",Discovery
217,,0.1,Domain Account,"The threat actors performs account discovery using commands such as net localgroup administratorsand net group ""REDACTED"" /domainon specific permissions groups.",Discovery
